Year,500cc MotoGP Nation,500cc MotoGP Rider,500cc MotoGP Make,350cc Nation,350cc Rider,350cc Make,250cc Moto2 Nation,250cc Moto2 Rider,250cc Moto2 Make,125cc Moto3 Nation,125cc Moto3 Rider,125cc Moto3 Make,50cc 80cc Nation,50cc 80cc Rider,50cc 80cc Make,750cc Nation,750cc Rider,750cc Make,MotoE Nation,MotoE Rider,MotoE Make
1949,UK,Leslie Graham,AJS,UK,Freddie Frith,Velocette,Italy,Bruno Ruffo,Moto Guzzi,Italy,Nello Pagani,Mondial,,,,,,,,,
1950,Italy,Umberto Masetti,Gilera,UK,Bob Foster,Velocette,Italy,Dario Ambrosini,Benelli,Italy,Bruno Ruffo,Mondial,,,,,,,,,
1951,UK,Geoff Duke,Norton,UK,Geoff Duke,Norton,Italy,Bruno Ruffo,Moto Guzzi,Italy,Carlo Ubbiali,Mondial,,,,,,,,,
1952,Italy,Umberto Masetti,Gilera,UK,Geoff Duke,Norton,Italy,Enrico Lorenzetti,Moto Guzzi,UK,Cecil Sandford,MV Agusta,,,,,,,,,
1953,UK,Geoff Duke,Gilera,UK,Fergus Anderson,Moto Guzzi,Germany,Werner Haas,NSU,Germany,Werner Haas,NSU,,,,,,,,,
1954,UK,Geoff Duke,Gilera,UK,Fergus Anderson,Moto Guzzi,Germany,Werner Haas,NSU,Austria,Rupert Hollaus,NSU,,,,,,,,,
1955,UK,Geoff Duke,Gilera,UK,Bill Lomas,Moto Guzzi,Germany,Hermann Paul Müller,NSU,Italy,Carlo Ubbiali,MV Agusta,,,,,,,,,
1956,UK,John Surtees,MV Agusta,UK,Bill Lomas,Moto Guzzi,Italy,Carlo Ubbiali,MV Agusta,Italy,Carlo Ubbiali,MV Agusta,,,,,,,,,
1957,Italy,Libero Liberati,Gilera,Australia,Keith Campbell,Moto Guzzi,UK,Cecil Sandford,Mondial,Italy,Tarquinio Provini,Mondial,,,,,,,,,
1958,UK,John Surtees,MV Agusta,UK,John Surtees,MV Agusta,Italy,Tarquinio Provini,MV Agusta,Italy,Carlo Ubbiali,MV Agusta,,,,,,,,,
1959,UK,John Surtees,MV Agusta,UK,John Surtees,MV Agusta,Italy,Carlo Ubbiali,MV Agusta,Italy,Carlo Ubbiali,MV Agusta,,,,,,,,,
1960,UK,John Surtees,MV Agusta,UK,John Surtees,MV Agusta,Italy,Carlo Ubbiali,MV Agusta,Italy,Carlo Ubbiali,MV Agusta,,,,,,,,,
1961,Rhodesia,Gary Hocking,MV Agusta,Rhodesia,Gary Hocking,MV Agusta,UK,Mike Hailwood,Honda,Australia,Tom Phillis,Honda,,,,,,,,,
1962,UK,Mike Hailwood,MV Agusta,Rhodesia,Jim Redman,Honda,Rhodesia,Jim Redman,Honda,Switzerland,Luigi Taveri,Honda,Germany,Ernst Degner,Suzuki,,,,,,
